subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, episode_remembered, OnsetEnd
NG, encoding,6,3,0,43,40, apple,1,1,5, ,0,0,0, chain,0, NO,2,0,0,0,1141.628088,1164.28754,1167.437349,1152.390377, , , , , , , 
NG, encoding,6,4,0,44,40, ostrich,7,2,2, ,0,0,5.433613, launch,0, NO,2,0,0,0,1141.628088,1175.953907,1178.687208,1184.12618, , , , , , , 
NG, encoding,6,5,0,45,40, shirt,12,1,8, ,0,0,0, allocate,0, NO,2,0,0,0,1141.628088,1184.970429,1187.65369,1184.12618, , , , , , , 
NG, encoding,6,6,0,46,40, flamingo,5,1,2, ,0,0,6.310657, inject,0, NO,2,0,0,0,1141.628088,1195.703562,1198.970076,1205.286022, , , , , , , 
NG, encoding,6,7,0,47,40, mushrooms,11,1,7, ,0,0,3.738733, bounce,0, NO,2,0,0,0,1141.628088,1205.936689,1209.069958,1212.814066, , , , , , , 
NG, encoding,6,8,0,48,40, owl,8,2,2, ,0,0,4.384874, agitate,0, NO,2,0,0,0,1141.628088,1214.203092,1217.719723,1222.109999, , , , , , , 
NG, retrieval,6,0,1,48,41, apple,1,1,5, field,12,1,0, chain,1.922897, perceptual,1,1.280986,34,1, , , , ,1267.320431,1269.28536,1271.213679,1274.735272,1276.021636,1, 
NG, retrieval,6,0,2,48,42, ostrich,7,2,2, parking_sub,24,3,0, launch,1.344236, semantic_animated,1,0.94908,34,1, , , , ,1267.320431,1277.151983,1278.501489,1282.035154,1282.989564,1, 
NG, retrieval,6,0,3,48,43, coconut,5,1,5, art_gallery,1,3,0, forge,1.741602, semantic_animated,1,1.499163,34,1, , , , ,1267.320431,1284.418555,1286.165572,1289.685006,1291.189501,1, 
NG, retrieval,6,0,4,48,44, glasses,5,2,8, paris_metro,23,3,0, kick,1.632539, semantic_animated,1,1.137929,34,1, , , , ,1267.320431,1292.351613,1293.989492,1297.518179,1298.661473,1, 
NG, retrieval,6,0,5,48,45, owl,8,2,2, venecia,30,2,0, agitate,1.204512, perceptual,1,1.175228,34,1, , , , ,1267.320431,1300.051547,1301.26135,1304.784803,1305.965404,1, 
NG, retrieval,6,0,6,48,46, mushrooms,11,1,7, cliff,6,1,0, bounce,1.371943, perceptual,1,1.008123,34,1, , , , ,1267.320431,1307.068086,1308.445411,1311.967914,1312.981375,1, 
NG, retrieval,6,0,7,48,47, shirt,12,1,8, destroyed_living,11,4,0, allocate,3.594699, perceptual,1,1.213561,34,1, , , , ,1267.320431,1314.701286,1318.301683,1321.834362,1323.053356,1, 
NG, retrieval,6,0,8,48,48, flamingo,5,1,2, grocery,15,3,0, inject,1.530839, semantic_animated,1,1.256342,34,1, , , , ,1267.320431,1324.301092,1325.8373,1329.367532,1330.629218,1, 
NG, encoding,7,1,0,49,48, octopus,8,2,4, ,0,0,5.443702, copy,0, NO,2,0,0,0,1333.123221,1336.000773,1338.684143,1344.13323, , , , , , , 
NG, encoding,7,2,0,50,48, hairdryer,6,2,6, ,0,0,2.749225, drill,0, NO,2,0,0,0,1333.123221,1345.417227,1348.050615,1350.805073, , , , , , , 
NG, encoding,7,3,0,51,48, camera,2,1,6, ,0,0,6.025876, lay,0, NO,2,0,0,0,1333.123221,1352.167122,1354.733818,1360.765034, , , , , , , 
NG, encoding,7,4,0,52,48, piranha,9,1,4, ,0,0,5.16266, shift,0, NO,2,0,0,0,1333.123221,1361.650277,1364.516978,1369.684982, , , , , , , 
NG, encoding,7,5,0,53,48, seaturtle,12,2,4, ,0,0,0, push,0, NO,2,0,0,0,1333.123221,1370.8501,1374.316791,1369.684982, , , , , , , 
NG, encoding,7,6,0,54,48, mosquito,12,1,1, ,0,0,4.969003, adjusted,0, NO,2,0,0,0,1333.123221,1382.699866,1385.566493,1390.540885, , , , , , , 
NG, encoding,7,7,0,55,48, gloves,6,2,8, ,0,0,6.143694, catapult,0, NO,2,0,0,0,1333.123221,1391.833023,1394.799737,1400.948754, , , , , , , 
NG, encoding,7,8,0,56,48, strawberry,15,2,5, ,0,0,5.359265, reduce,0, NO,2,0,0,0,1333.123221,1401.916118,1405.216131,1410.580686, , , , , , , 
NG, retrieval,7,0,1,56,49, octopus,8,2,4, dirty_industrial_area,10,2,0, copy,4.818611, perceptual,1,1.452728,36,1, , , , ,1455.332408,1457.948434,1462.772415,1466.298376,1467.756388,1, 
NG, retrieval,7,0,2,56,50, seaturtle,12,2,4, church,6,3,0, push,1.351411, semantic_animated,1,0.868082,36,1, , , , ,1455.332408,1468.831641,1470.188281,1473.714878,1474.588328,1, 
NG, retrieval,7,0,3,56,51, gloves,6,2,8, corridor_home,8,2,0, catapult,1.94355, perceptual,1,1.940249,36,1, , , , ,1455.332408,1475.83143,1477.780285,1481.31466,1483.260296,1, 
NG, retrieval,7,0,4,56,52, piranha,9,1,4, desert_landscape,8,1,0, shift,2.470866, perceptual,1,0.974954,36,1, , , , ,1455.332408,1484.248046,1486.724237,1490.247937,1491.228222,1, 
NG, retrieval,7,0,5,56,53, strawberry,15,2,5, music_store,21,3,0, reduce,1.281676, semantic_animated,1,1.201015,36,1, , , , ,1455.332408,1492.381209,1493.668175,1497.197796,1498.404251,1, 
NG, retrieval,7,0,6,56,54, hairdryer,6,2,6, vienna,31,2,0, drill,0.902624, perceptual,1,1.18113,36,1, , , , ,1455.332408,1499.464306,1500.372168,1503.897656,1505.084139,1, 
NG, retrieval,7,0,7,56,55, camera,2,1,6, bedroom_girly,5,4,0, lay,1.066673, perceptual,1,0.882661,36,1, , , , ,1455.332408,1506.364178,1507.436076,1510.964101,1511.852156,1, 
NG, retrieval,7,0,8,56,56, mosquito,12,1,1, luxury_living,26,4,0, adjusted,1.642666, perceptual,1,1.604089,36,1, , , , ,1455.332408,1512.964047,1514.61203,1518.130623,1519.740025,1, 
NG, encoding,8,1,0,57,56, wolf,16,1,3, ,0,0,5.060143, detect,0, NO,2,0,0,0,1522.704993,1524.847222,1528.130451,1533.195961, , , , , , , 
NG, encoding,8,2,0,58,56, dragonfly,7,2,1, ,0,0,5.356998, join,0, NO,2,0,0,0,1522.704993,1534.380413,1537.5136,1542.875843, , , , , , , 
NG, encoding,8,3,0,59,56, penguin,12,2,2, ,0,0,5.424376, pick,0, NO,2,0,0,0,1522.704993,1544.396818,1547.030094,1552.459882, , , , , , , 
NG, encoding,8,4,0,60,56, lemon,8,2,5, ,0,0,0, peek,0, NO,2,0,0,0,1522.704993,1553.263222,1556.19655,1552.459882, , , , , , , 
